layer	xmin_dbu	ymin_dbu	xmax_dbu	ymax_dbu
Metal2	0	0	70000	4070
Metal2	0	4070	4070	65930
Metal2	65930	4070	70000	65930
Metal2	0	65930	70000	70000
Metal3	0	0	70000	4070
Metal3	0	4070	4070	65930
Metal3	65930	4070	70000	65930
Metal3	0	65930	70000	70000
Metal4	0	0	70000	4070
Metal4	0	4070	4070	65930
Metal4	65930	4070	70000	65930
Metal4	0	65930	70000	70000
Metal5	0	0	70000	4070
Metal5	0	4070	4070	65930
Metal5	65930	4070	70000	65930
Metal5	0	65930	70000	70000
TopMetal1	0	0	70000	4070
TopMetal1	0	4070	4070	65930
TopMetal1	65930	4070	70000	65930
TopMetal1	0	65930	70000	70000
TopMetal2	0	0	70000	70000
