port	net	io_type	signal_type
VDD	VDD	INOUT	POWER
VDDIO	VDDIO	INOUT	POWER
VSS	VSS	INOUT	GROUND
VSSIO	VSSIO	INOUT	GROUND
clk_i	clk_i	INPUT	SIGNAL
gpio0_io	gpio0_io	INOUT	SIGNAL
gpio10_io	gpio10_io	INOUT	SIGNAL
gpio11_io	gpio11_io	INOUT	SIGNAL
gpio12_io	gpio12_io	INOUT	SIGNAL
gpio13_io	gpio13_io	INOUT	SIGNAL
gpio14_io	gpio14_io	INOUT	SIGNAL
gpio15_io	gpio15_io	INOUT	SIGNAL
gpio16_io	gpio16_io	INOUT	SIGNAL
gpio17_io	gpio17_io	INOUT	SIGNAL
gpio18_io	gpio18_io	INOUT	SIGNAL
gpio19_io	gpio19_io	INOUT	SIGNAL
gpio1_io	gpio1_io	INOUT	SIGNAL
gpio20_io	gpio20_io	INOUT	SIGNAL
gpio21_io	gpio21_io	INOUT	SIGNAL
gpio22_io	gpio22_io	INOUT	SIGNAL
gpio23_io	gpio23_io	INOUT	SIGNAL
gpio24_io	gpio24_io	INOUT	SIGNAL
gpio25_io	gpio25_io	INOUT	SIGNAL
gpio26_io	gpio26_io	INOUT	SIGNAL
gpio27_io	gpio27_io	INOUT	SIGNAL
gpio28_io	gpio28_io	INOUT	SIGNAL
gpio29_io	gpio29_io	INOUT	SIGNAL
gpio2_io	gpio2_io	INOUT	SIGNAL
gpio30_io	gpio30_io	INOUT	SIGNAL
gpio31_io	gpio31_io	INOUT	SIGNAL
gpio3_io	gpio3_io	INOUT	SIGNAL
gpio4_io	gpio4_io	INOUT	SIGNAL
gpio5_io	gpio5_io	INOUT	SIGNAL
gpio6_io	gpio6_io	INOUT	SIGNAL
gpio7_io	gpio7_io	INOUT	SIGNAL
gpio8_io	gpio8_io	INOUT	SIGNAL
gpio9_io	gpio9_io	INOUT	SIGNAL
jtag_tck_i	jtag_tck_i	INPUT	SIGNAL
jtag_tdi_i	jtag_tdi_i	INPUT	SIGNAL
jtag_tdo_o	jtag_tdo_o	OUTPUT	SIGNAL
jtag_tms_i	jtag_tms_i	INPUT	SIGNAL
jtag_trst_ni	jtag_trst_ni	INPUT	SIGNAL
ref_clk_i	ref_clk_i	INPUT	SIGNAL
rst_ni	rst_ni	INPUT	SIGNAL
status_o	status_o	OUTPUT	SIGNAL
testmode_i	testmode_i	INPUT	SIGNAL
uart_rx_i	uart_rx_i	INPUT	SIGNAL
uart_tx_o	uart_tx_o	OUTPUT	SIGNAL
unused0_o	unused0_o	OUTPUT	SIGNAL
unused1_o	unused1_o	OUTPUT	SIGNAL
unused2_o	unused2_o	OUTPUT	SIGNAL
unused3_o	unused3_o	OUTPUT	SIGNAL
