parent	buffer	load_pin
clkbuf_2_0_0_soc_clk_i_regs	eco_cts_b0_g0	clkbuf_6_0_0_soc_clk_i_regs/A
clkbuf_2_0_0_soc_clk_i_regs	eco_cts_b0_g0	clkbuf_6_10_0_soc_clk_i_regs/A
clkbuf_2_0_0_soc_clk_i_regs	eco_cts_b0_g0	clkbuf_6_11_0_soc_clk_i_regs/A
clkbuf_2_0_0_soc_clk_i_regs	eco_cts_b0_g0	clkbuf_6_12_0_soc_clk_i_regs/A
clkbuf_2_0_0_soc_clk_i_regs	eco_cts_b0_g0	clkbuf_6_13_0_soc_clk_i_regs/A
clkbuf_2_0_0_soc_clk_i_regs	eco_cts_b0_g0	clkbuf_6_14_0_soc_clk_i_regs/A
clkbuf_2_0_0_soc_clk_i_regs	eco_cts_b0_g0	clkbuf_6_15_0_soc_clk_i_regs/A
clkbuf_2_0_0_soc_clk_i_regs	eco_cts_b0_g0	clkbuf_6_1_0_soc_clk_i_regs/A
clkbuf_2_0_0_soc_clk_i_regs	eco_cts_b0_g1	clkbuf_6_2_0_soc_clk_i_regs/A
clkbuf_2_0_0_soc_clk_i_regs	eco_cts_b0_g1	clkbuf_6_3_0_soc_clk_i_regs/A
clkbuf_2_0_0_soc_clk_i_regs	eco_cts_b0_g1	clkbuf_6_4_0_soc_clk_i_regs/A
clkbuf_2_0_0_soc_clk_i_regs	eco_cts_b0_g1	clkbuf_6_5_0_soc_clk_i_regs/A
clkbuf_2_0_0_soc_clk_i_regs	eco_cts_b0_g1	clkbuf_6_6_0_soc_clk_i_regs/A
clkbuf_2_0_0_soc_clk_i_regs	eco_cts_b0_g1	clkbuf_6_7_0_soc_clk_i_regs/A
clkbuf_2_0_0_soc_clk_i_regs	eco_cts_b0_g1	clkbuf_6_8_0_soc_clk_i_regs/A
clkbuf_2_0_0_soc_clk_i_regs	eco_cts_b0_g1	clkbuf_6_9_0_soc_clk_i_regs/A
clkbuf_2_1_0_soc_clk_i_regs	eco_cts_b1_g0	clkbuf_6_16_0_soc_clk_i_regs/A
clkbuf_2_1_0_soc_clk_i_regs	eco_cts_b1_g0	clkbuf_6_17_0_soc_clk_i_regs/A
clkbuf_2_1_0_soc_clk_i_regs	eco_cts_b1_g0	clkbuf_6_18_0_soc_clk_i_regs/A
clkbuf_2_1_0_soc_clk_i_regs	eco_cts_b1_g0	clkbuf_6_19_0_soc_clk_i_regs/A
clkbuf_2_1_0_soc_clk_i_regs	eco_cts_b1_g0	clkbuf_6_20_0_soc_clk_i_regs/A
clkbuf_2_1_0_soc_clk_i_regs	eco_cts_b1_g0	clkbuf_6_21_0_soc_clk_i_regs/A
clkbuf_2_1_0_soc_clk_i_regs	eco_cts_b1_g0	clkbuf_6_22_0_soc_clk_i_regs/A
clkbuf_2_1_0_soc_clk_i_regs	eco_cts_b1_g0	clkbuf_6_23_0_soc_clk_i_regs/A
clkbuf_2_1_0_soc_clk_i_regs	eco_cts_b1_g1	clkbuf_6_24_0_soc_clk_i_regs/A
clkbuf_2_1_0_soc_clk_i_regs	eco_cts_b1_g1	clkbuf_6_25_0_soc_clk_i_regs/A
clkbuf_2_1_0_soc_clk_i_regs	eco_cts_b1_g1	clkbuf_6_26_0_soc_clk_i_regs/A
clkbuf_2_1_0_soc_clk_i_regs	eco_cts_b1_g1	clkbuf_6_27_0_soc_clk_i_regs/A
clkbuf_2_1_0_soc_clk_i_regs	eco_cts_b1_g1	clkbuf_6_28_0_soc_clk_i_regs/A
clkbuf_2_1_0_soc_clk_i_regs	eco_cts_b1_g1	clkbuf_6_29_0_soc_clk_i_regs/A
clkbuf_2_1_0_soc_clk_i_regs	eco_cts_b1_g1	clkbuf_6_30_0_soc_clk_i_regs/A
clkbuf_2_1_0_soc_clk_i_regs	eco_cts_b1_g1	clkbuf_6_31_0_soc_clk_i_regs/A
