master	type	area_um2	candidate_count
sg13g2_a21o_1	CORE	12.7008	440
sg13g2_a21o_2	CORE	14.5152	0
sg13g2_a21oi_1	CORE	9.072	1934
sg13g2_a21oi_2	CORE	14.5152	10
sg13g2_a221oi_1	CORE	14.5152	557
sg13g2_a22oi_1	CORE	10.8864	1101
sg13g2_and2_1	CORE	9.072	798
sg13g2_and2_2	CORE	10.8864	6
sg13g2_and3_1	CORE	12.7008	163
sg13g2_and3_2	CORE	12.7008	4
sg13g2_and4_1	CORE	14.5152	84
sg13g2_and4_2	CORE	16.3296	0
sg13g2_antennanp	CORE_ANTENNACELL	5.4432	0
sg13g2_buf_1	CORE	7.2576	2071
sg13g2_buf_16	CORE	45.36	24
sg13g2_buf_2	CORE	9.072	236
sg13g2_buf_4	CORE	14.5152	42
sg13g2_buf_8	CORE	23.5872	63
sg13g2_decap_4	CORE_SPACER	7.2576	0
sg13g2_decap_8	CORE_SPACER	12.7008	0
sg13g2_dfrbp_1	CORE	52.6176	0
sg13g2_dfrbp_2	CORE	54.432	0
sg13g2_dfrbpq_1	CORE	48.9888	4275
sg13g2_dfrbpq_2	CORE	50.8032	0
sg13g2_dlhq_1	CORE	30.8448	0
sg13g2_dlhr_1	CORE	32.6592	0
sg13g2_dlhrq_1	CORE	27.216	0
sg13g2_dllr_1	CORE	34.4736	0
sg13g2_dllrq_1	CORE	29.0304	0
sg13g2_dlygate4sd1_1	CORE	14.5152	0
sg13g2_dlygate4sd2_1	CORE	14.5152	0
sg13g2_dlygate4sd3_1	CORE	16.3296	0
sg13g2_ebufn_2	CORE	18.144	0
sg13g2_ebufn_4	CORE	27.216	0
sg13g2_ebufn_8	CORE	45.36	0
sg13g2_einvn_2	CORE	16.3296	0
sg13g2_einvn_4	CORE	23.5872	0
sg13g2_einvn_8	CORE	39.9168	0
sg13g2_fill_1	CORE_SPACER	1.8144	0
sg13g2_fill_2	CORE_SPACER	3.6288	0
sg13g2_fill_4	CORE_SPACER	7.2576	0
sg13g2_fill_8	CORE_SPACER	14.5152	0
sg13g2_inv_1	CORE	5.4432	1026
sg13g2_inv_16	CORE	34.4736	0
sg13g2_inv_2	CORE	7.2576	3
sg13g2_inv_4	CORE	10.8864	3
sg13g2_inv_8	CORE	18.144	3
sg13g2_lgcp_1	CORE	27.216	0
sg13g2_mux2_1	CORE	18.144	3728
sg13g2_mux2_2	CORE	19.9584	71
sg13g2_mux4_1	CORE	38.1024	520
sg13g2_nand2_1	CORE	7.2576	3076
sg13g2_nand2_2	CORE	10.8864	47
sg13g2_nand2b_1	CORE	9.072	483
sg13g2_nand2b_2	CORE	14.5152	6
sg13g2_nand3_1	CORE	9.072	1550
sg13g2_nand3b_1	CORE	12.7008	76
sg13g2_nand4_1	CORE	10.8864	318
sg13g2_nor2_1	CORE	7.2576	2080
sg13g2_nor2_2	CORE	10.8864	41
sg13g2_nor2b_1	CORE	9.072	527
sg13g2_nor2b_2	CORE	12.7008	15
sg13g2_nor3_1	CORE	9.072	967
sg13g2_nor3_2	CORE	16.3296	24
sg13g2_nor4_1	CORE	10.8864	198
sg13g2_nor4_2	CORE	21.7728	32
sg13g2_o21ai_1	CORE	9.072	2839
sg13g2_or2_1	CORE	9.072	301
sg13g2_or2_2	CORE	10.8864	0
sg13g2_or3_1	CORE	12.7008	63
sg13g2_or3_2	CORE	14.5152	0
sg13g2_or4_1	CORE	14.5152	30
sg13g2_or4_2	CORE	16.3296	0
sg13g2_sdfbbp_1	CORE	63.504	0
sg13g2_sdfrbp_1	CORE	68.9472	0
sg13g2_sdfrbp_2	CORE	72.576	0
sg13g2_sdfrbpq_1	CORE	63.504	0
sg13g2_sdfrbpq_2	CORE	65.3184	0
sg13g2_sighold	CORE	9.072	0
sg13g2_slgcp_1	CORE	30.8448	0
sg13g2_tiehi	CORE	7.2576	13
sg13g2_tielo	CORE	7.2576	13
sg13g2_xnor2_1	CORE	14.5152	349
sg13g2_xor2_1	CORE	14.5152	198
sg13g2_Corner	PAD_SPACER	32400.0	4
sg13g2_Filler200	PAD_SPACER	180.0	0
sg13g2_Filler400	PAD_SPACER	360.0	0
sg13g2_Filler1000	PAD_SPACER	900.0	0
sg13g2_Filler2000	PAD_SPACER	1800.0	60
sg13g2_Filler4000	PAD_SPACER	3600.0	0
sg13g2_Filler10000	PAD_SPACER	9000.0	0
sg13g2_IOPadIn	PAD_INPUT	14400.0	9
sg13g2_IOPadOut4mA	PAD_OUTPUT	14400.0	0
sg13g2_IOPadOut16mA	PAD_OUTPUT	14400.0	7
sg13g2_IOPadOut30mA	PAD_OUTPUT	14400.0	0
sg13g2_IOPadTriOut4mA	PAD_OUTPUT	14400.0	0
sg13g2_IOPadTriOut16mA	PAD_OUTPUT	14400.0	0
sg13g2_IOPadTriOut30mA	PAD_OUTPUT	14400.0	0
sg13g2_IOPadInOut4mA	PAD_INOUT	14400.0	0
sg13g2_IOPadInOut16mA	PAD_INOUT	14400.0	0
sg13g2_IOPadInOut30mA	PAD_INOUT	14400.0	32
sg13g2_IOPadAnalog	PAD_INOUT	14400.0	0
sg13g2_IOPadIOVss	PAD_POWER	14400.0	4
sg13g2_IOPadIOVdd	PAD_POWER	14400.0	4
sg13g2_IOPadVss	PAD_POWER	14400.0	4
sg13g2_IOPadVdd	PAD_POWER	14400.0	4
bondpad_70x70	COVER	4900.0	0
RM_IHPSG13_1P_256x64_c2_bm_bist	BLOCK	93180.5344	0
RM_IHPSG13_1P_256x48_c2_bm_bist	BLOCK	70849.8944	0
RM_IHPSG13_1P_1024x64_c2_bm_bist	BLOCK	263946.1408	0
RM_IHPSG13_1P_512x64_c2_bm_bist	BLOCK	150102.4032	0
RM_IHPSG13_1P_2048x64_c2_bm_bist	BLOCK	491633.616	0
RM_IHPSG13_1P_512x32_c2_bm_bist	BLOCK	79719.8976	2
RM_IHPSG13_1P_64x64_c2_bm_bist	BLOCK	50489.1328	0
bondpad70_m2_ring	COVER	4900.0	64
