instance	net	xmin	ymin	xmax	ymax
IO_BOND_pad_clk_i	clk_i	17800	1087000	87800	1157000
IO_BOND_pad_gpio0_io	gpio0_io	457000	17800	527000	87800
IO_BOND_pad_gpio10_io	gpio10_io	1357000	17800	1427000	87800
IO_BOND_pad_gpio11_io	gpio11_io	1447000	17800	1517000	87800
IO_BOND_pad_gpio12_io	gpio12_io	1886200	457000	1956200	527000
IO_BOND_pad_gpio13_io	gpio13_io	1886200	547000	1956200	617000
IO_BOND_pad_gpio14_io	gpio14_io	1886200	637000	1956200	707000
IO_BOND_pad_gpio15_io	gpio15_io	1886200	727000	1956200	797000
IO_BOND_pad_gpio16_io	gpio16_io	1886200	817000	1956200	887000
IO_BOND_pad_gpio17_io	gpio17_io	1886200	907000	1956200	977000
IO_BOND_pad_gpio18_io	gpio18_io	1886200	997000	1956200	1067000
IO_BOND_pad_gpio19_io	gpio19_io	1886200	1087000	1956200	1157000
IO_BOND_pad_gpio1_io	gpio1_io	547000	17800	617000	87800
IO_BOND_pad_gpio20_io	gpio20_io	1886200	1177000	1956200	1247000
IO_BOND_pad_gpio21_io	gpio21_io	1886200	1267000	1956200	1337000
IO_BOND_pad_gpio22_io	gpio22_io	1886200	1357000	1956200	1427000
IO_BOND_pad_gpio23_io	gpio23_io	1886200	1447000	1956200	1517000
IO_BOND_pad_gpio24_io	gpio24_io	1447000	1886200	1517000	1956200
IO_BOND_pad_gpio25_io	gpio25_io	1357000	1886200	1427000	1956200
IO_BOND_pad_gpio26_io	gpio26_io	1267000	1886200	1337000	1956200
IO_BOND_pad_gpio27_io	gpio27_io	1177000	1886200	1247000	1956200
IO_BOND_pad_gpio28_io	gpio28_io	1087000	1886200	1157000	1956200
IO_BOND_pad_gpio29_io	gpio29_io	997000	1886200	1067000	1956200
IO_BOND_pad_gpio2_io	gpio2_io	637000	17800	707000	87800
IO_BOND_pad_gpio30_io	gpio30_io	907000	1886200	977000	1956200
IO_BOND_pad_gpio31_io	gpio31_io	817000	1886200	887000	1956200
IO_BOND_pad_gpio3_io	gpio3_io	727000	17800	797000	87800
IO_BOND_pad_gpio4_io	gpio4_io	817000	17800	887000	87800
IO_BOND_pad_gpio5_io	gpio5_io	907000	17800	977000	87800
IO_BOND_pad_gpio6_io	gpio6_io	997000	17800	1067000	87800
IO_BOND_pad_gpio7_io	gpio7_io	1087000	17800	1157000	87800
IO_BOND_pad_gpio8_io	gpio8_io	1177000	17800	1247000	87800
IO_BOND_pad_gpio9_io	gpio9_io	1267000	17800	1337000	87800
IO_BOND_pad_jtag_tck_i	jtag_tck_i	17800	817000	87800	887000
IO_BOND_pad_jtag_tdi_i	jtag_tdi_i	17800	547000	87800	617000
IO_BOND_pad_jtag_tdo_o	jtag_tdo_o	17800	457000	87800	527000
IO_BOND_pad_jtag_tms_i	jtag_tms_i	17800	637000	87800	707000
IO_BOND_pad_jtag_trst_ni	jtag_trst_ni	17800	727000	87800	797000
IO_BOND_pad_ref_clk_i	ref_clk_i	17800	997000	87800	1067000
IO_BOND_pad_rst_ni	rst_ni	17800	907000	87800	977000
IO_BOND_pad_status_o	status_o	17800	1177000	87800	1247000
IO_BOND_pad_testmode_i	testmode_i	17800	1267000	87800	1337000
IO_BOND_pad_uart_rx_i	uart_rx_i	17800	1447000	87800	1517000
IO_BOND_pad_uart_tx_o	uart_tx_o	17800	1357000	87800	1427000
IO_BOND_pad_unused0_o	unused0_o	727000	1886200	797000	1956200
IO_BOND_pad_unused1_o	unused1_o	637000	1886200	707000	1956200
IO_BOND_pad_unused2_o	unused2_o	547000	1886200	617000	1956200
IO_BOND_pad_unused3_o	unused3_o	457000	1886200	527000	1956200
IO_BOND_pad_vdd0	VDD	17800	277000	87800	347000
IO_BOND_pad_vdd1	VDD	1627000	17800	1697000	87800
IO_BOND_pad_vdd2	VDD	1886200	1627000	1956200	1697000
IO_BOND_pad_vdd3	VDD	277000	1886200	347000	1956200
IO_BOND_pad_vddio0	VDDIO	17800	1537000	87800	1607000
IO_BOND_pad_vddio1	VDDIO	367000	17800	437000	87800
IO_BOND_pad_vddio2	VDDIO	1886200	367000	1956200	437000
IO_BOND_pad_vddio3	VDDIO	1537000	1886200	1607000	1956200
IO_BOND_pad_vss0	VSS	17800	367000	87800	437000
IO_BOND_pad_vss1	VSS	1537000	17800	1607000	87800
IO_BOND_pad_vss2	VSS	1886200	1537000	1956200	1607000
IO_BOND_pad_vss3	VSS	367000	1886200	437000	1956200
IO_BOND_pad_vssio0	VSSIO	17800	1627000	87800	1697000
IO_BOND_pad_vssio1	VSSIO	277000	17800	347000	87800
IO_BOND_pad_vssio2	VSSIO	1886200	277000	1956200	347000
IO_BOND_pad_vssio3	VSSIO	1627000	1886200	1697000	1956200
