port	net	io_type	signal_type	layer	xmin	ymin	xmax	ymax	placement_status
VDD	VDD	INOUT	POWER	TopMetal2	277000	1886200	347000	1956200	FIRM
VDD	VDD	INOUT	POWER	TopMetal2	1886200	1627000	1956200	1697000	FIRM
VDD	VDD	INOUT	POWER	TopMetal2	1627000	17800	1697000	87800	FIRM
VDD	VDD	INOUT	POWER	TopMetal2	17800	277000	87800	347000	FIRM
VDDIO	VDDIO	INOUT	POWER	TopMetal2	1537000	1886200	1607000	1956200	FIRM
VDDIO	VDDIO	INOUT	POWER	TopMetal2	1886200	367000	1956200	437000	FIRM
VDDIO	VDDIO	INOUT	POWER	TopMetal2	367000	17800	437000	87800	FIRM
VDDIO	VDDIO	INOUT	POWER	TopMetal2	17800	1537000	87800	1607000	FIRM
VSS	VSS	INOUT	GROUND	TopMetal2	367000	1886200	437000	1956200	FIRM
VSS	VSS	INOUT	GROUND	TopMetal2	1886200	1537000	1956200	1607000	FIRM
VSS	VSS	INOUT	GROUND	TopMetal2	1537000	17800	1607000	87800	FIRM
VSS	VSS	INOUT	GROUND	TopMetal2	17800	367000	87800	437000	FIRM
VSSIO	VSSIO	INOUT	GROUND	TopMetal2	1627000	1886200	1697000	1956200	FIRM
VSSIO	VSSIO	INOUT	GROUND	TopMetal2	1886200	277000	1956200	347000	FIRM
VSSIO	VSSIO	INOUT	GROUND	TopMetal2	277000	17800	347000	87800	FIRM
VSSIO	VSSIO	INOUT	GROUND	TopMetal2	17800	1627000	87800	1697000	FIRM
clk_i	clk_i	INPUT	SIGNAL	TopMetal2	17800	1087000	87800	1157000	FIRM
gpio0_io	gpio0_io	INOUT	SIGNAL	TopMetal2	457000	17800	527000	87800	FIRM
gpio10_io	gpio10_io	INOUT	SIGNAL	TopMetal2	1357000	17800	1427000	87800	FIRM
gpio11_io	gpio11_io	INOUT	SIGNAL	TopMetal2	1447000	17800	1517000	87800	FIRM
gpio12_io	gpio12_io	INOUT	SIGNAL	TopMetal2	1886200	457000	1956200	527000	FIRM
