buffer	original_net	load_pin
eco_sram_cap_b0_d00	net5481	i_croc_soc/i_croc/_6871_/B2
eco_sram_cap_b0_d00	net5481	i_croc_soc/i_croc/_7261_/B2
eco_sram_cap_b0_d00	net5481	i_croc_soc/i_croc/_6015_/B2
eco_sram_cap_b0_d00	net5481	i_croc_soc/i_croc/_6677_/B2
eco_sram_cap_b0_d01	net5470	i_croc_soc/i_croc/_6878_/B2
eco_sram_cap_b0_d01	net5470	i_croc_soc/i_croc/_6195_/B2
eco_sram_cap_b0_d01	net5470	i_croc_soc/i_croc/_7259_/B2
eco_sram_cap_b0_d01	net5470	i_croc_soc/i_croc/_6684_/B2
eco_sram_cap_b0_d02	net5459	i_croc_soc/i_croc/_6882_/B2
eco_sram_cap_b0_d02	net5459	i_croc_soc/i_croc/_6338_/B2
eco_sram_cap_b0_d02	net5459	i_croc_soc/i_croc/_7251_/B2
eco_sram_cap_b0_d02	net5459	i_croc_soc/i_croc/_6688_/B2
eco_sram_cap_b0_d03	net5456	i_croc_soc/i_croc/_6886_/B2
eco_sram_cap_b0_d03	net5456	i_croc_soc/i_croc/_6375_/B2
eco_sram_cap_b0_d03	net5456	i_croc_soc/i_croc/_7247_/B2
eco_sram_cap_b0_d03	net5456	i_croc_soc/i_croc/_6692_/B2
eco_sram_cap_b0_d04	net5455	i_croc_soc/i_croc/_6890_/B2
eco_sram_cap_b0_d04	net5455	i_croc_soc/i_croc/_6387_/B2
eco_sram_cap_b0_d04	net5455	i_croc_soc/i_croc/_7243_/B2
eco_sram_cap_b0_d04	net5455	i_croc_soc/i_croc/_6696_/B2
eco_sram_cap_b0_d05	net5454	i_croc_soc/i_croc/_6727_/B2
eco_sram_cap_b0_d05	net5454	i_croc_soc/i_croc/_7235_/B2
eco_sram_cap_b0_d05	net5454	i_croc_soc/i_croc/_6391_/B2
eco_sram_cap_b0_d05	net5454	i_croc_soc/i_croc/_6534_/B2
eco_sram_cap_b0_d06	net5453	i_croc_soc/i_croc/_6739_/B2
eco_sram_cap_b0_d06	net5453	i_croc_soc/i_croc/_7230_/B2
eco_sram_cap_b0_d06	net5453	i_croc_soc/i_croc/_6404_/B2
eco_sram_cap_b0_d06	net5453	i_croc_soc/i_croc/_6546_/B2
eco_sram_cap_b0_d07	net5452	i_croc_soc/i_croc/_6551_/B2
eco_sram_cap_b0_d07	net5452	i_croc_soc/i_croc/_6744_/B2
eco_sram_cap_b0_d07	net5452	i_croc_soc/i_croc/_7225_/B2
eco_sram_cap_b0_d07	net5452	i_croc_soc/i_croc/_6417_/B2
eco_sram_cap_b0_d08	net5451	i_croc_soc/i_croc/_6566_/B2
eco_sram_cap_b0_d08	net5451	i_croc_soc/i_croc/_6759_/B2
eco_sram_cap_b0_d08	net5451	i_croc_soc/i_croc/_6438_/B2
eco_sram_cap_b0_d08	net5451	i_croc_soc/i_croc/_7223_/B2
eco_sram_cap_b0_d09	net5450	i_croc_soc/i_croc/_6764_/B2
eco_sram_cap_b0_d09	net5450	i_croc_soc/i_croc/_6571_/B2
eco_sram_cap_b0_d09	net5450	i_croc_soc/i_croc/_7219_/B2
eco_sram_cap_b0_d09	net5450	i_croc_soc/i_croc/_6450_/B2
eco_sram_cap_b0_d10	net5480	i_croc_soc/i_croc/_6766_/B2
eco_sram_cap_b0_d10	net5480	i_croc_soc/i_croc/_7210_/B2
eco_sram_cap_b0_d10	net5480	i_croc_soc/i_croc/_6040_/B2
eco_sram_cap_b0_d10	net5480	i_croc_soc/i_croc/_6573_/B2
eco_sram_cap_b0_d11	net5479	i_croc_soc/i_croc/_6773_/B2
eco_sram_cap_b0_d11	net5479	i_croc_soc/i_croc/_6079_/B2
eco_sram_cap_b0_d11	net5479	i_croc_soc/i_croc/_7208_/B2
eco_sram_cap_b0_d11	net5479	i_croc_soc/i_croc/_6580_/B2
eco_sram_cap_b0_d12	net5478	i_croc_soc/i_croc/_6775_/B2
eco_sram_cap_b0_d12	net5478	i_croc_soc/i_croc/_7195_/B2
eco_sram_cap_b0_d12	net5478	i_croc_soc/i_croc/_6083_/B2
eco_sram_cap_b0_d12	net5478	i_croc_soc/i_croc/_6582_/B2
eco_sram_cap_b0_d13	net5477	i_croc_soc/i_croc/_6782_/B2
eco_sram_cap_b0_d13	net5477	i_croc_soc/i_croc/_6104_/B2
eco_sram_cap_b0_d13	net5477	i_croc_soc/i_croc/_7193_/B2
eco_sram_cap_b0_d13	net5477	i_croc_soc/i_croc/_6589_/B2
eco_sram_cap_b0_d14	net5476	i_croc_soc/i_croc/_6784_/B2
eco_sram_cap_b0_d14	net5476	i_croc_soc/i_croc/_7185_/B2
eco_sram_cap_b0_d14	net5476	i_croc_soc/i_croc/_6108_/B2
eco_sram_cap_b0_d14	net5476	i_croc_soc/i_croc/_6591_/B2
eco_sram_cap_b0_d15	net5475	i_croc_soc/i_croc/_6791_/B2
eco_sram_cap_b0_d15	net5475	i_croc_soc/i_croc/_6130_/B2
eco_sram_cap_b0_d15	net5475	i_croc_soc/i_croc/_7183_/B2
eco_sram_cap_b0_d15	net5475	i_croc_soc/i_croc/_6598_/B2
eco_sram_cap_b0_d16	net5474	i_croc_soc/i_croc/_6793_/B2
eco_sram_cap_b0_d16	net5474	i_croc_soc/i_croc/_7176_/B2
eco_sram_cap_b0_d16	net5474	i_croc_soc/i_croc/_6134_/B2
eco_sram_cap_b0_d16	net5474	i_croc_soc/i_croc/_6600_/B2
eco_sram_cap_b0_d17	net5473	i_croc_soc/i_croc/_6798_/B2
eco_sram_cap_b0_d17	net5473	i_croc_soc/i_croc/_7171_/B2
eco_sram_cap_b0_d17	net5473	i_croc_soc/i_croc/_6148_/B2
eco_sram_cap_b0_d17	net5473	i_croc_soc/i_croc/_6605_/B2
eco_sram_cap_b0_d18	net5472	i_croc_soc/i_croc/_6805_/B2
eco_sram_cap_b0_d18	net5472	i_croc_soc/i_croc/_6169_/B2
eco_sram_cap_b0_d18	net5472	i_croc_soc/i_croc/_7169_/B2
eco_sram_cap_b0_d18	net5472	i_croc_soc/i_croc/_6612_/B2
eco_sram_cap_b0_d19	net5471	i_croc_soc/i_croc/_6809_/B2
eco_sram_cap_b0_d19	net5471	i_croc_soc/i_croc/_6182_/B2
eco_sram_cap_b0_d19	net5471	i_croc_soc/i_croc/_7165_/B2
eco_sram_cap_b0_d19	net5471	i_croc_soc/i_croc/_6616_/B2
eco_sram_cap_b0_d20	net5469	i_croc_soc/i_croc/_6814_/B2
eco_sram_cap_b0_d20	net5469	i_croc_soc/i_croc/_7161_/B2
eco_sram_cap_b0_d20	net5469	i_croc_soc/i_croc/_6208_/B2
eco_sram_cap_b0_d20	net5469	i_croc_soc/i_croc/_6621_/B2
eco_sram_cap_b0_d21	net5468	i_croc_soc/i_croc/_6816_/B2
eco_sram_cap_b0_d21	net5468	i_croc_soc/i_croc/_7153_/B2
eco_sram_cap_b0_d21	net5468	i_croc_soc/i_croc/_6212_/B2
eco_sram_cap_b0_d21	net5468	i_croc_soc/i_croc/_6623_/B2
eco_sram_cap_b0_d22	net5467	i_croc_soc/i_croc/_6823_/B2
eco_sram_cap_b0_d22	net5467	i_croc_soc/i_croc/_6236_/B2
eco_sram_cap_b0_d22	net5467	i_croc_soc/i_croc/_7312_/B2
eco_sram_cap_b0_d22	net5467	i_croc_soc/i_croc/_6630_/B2
eco_sram_cap_b0_d23	net5466	i_croc_soc/i_croc/_6830_/B2
eco_sram_cap_b0_d23	net5466	i_croc_soc/i_croc/_6248_/B2
eco_sram_cap_b0_d23	net5466	i_croc_soc/i_croc/_7308_/B2
eco_sram_cap_b0_d23	net5466	i_croc_soc/i_croc/_6637_/B2
eco_sram_cap_b0_d24	net5465	i_croc_soc/i_croc/_6832_/B2
eco_sram_cap_b0_d24	net5465	i_croc_soc/i_croc/_7301_/B2
eco_sram_cap_b0_d24	net5465	i_croc_soc/i_croc/_6252_/B2
eco_sram_cap_b0_d24	net5465	i_croc_soc/i_croc/_6639_/B2
eco_sram_cap_b0_d25	net5464	i_croc_soc/i_croc/_6839_/B2
eco_sram_cap_b0_d25	net5464	i_croc_soc/i_croc/_6277_/B2
eco_sram_cap_b0_d25	net5464	i_croc_soc/i_croc/_7299_/B2
eco_sram_cap_b0_d25	net5464	i_croc_soc/i_croc/_6646_/B2
eco_sram_cap_b0_d26	net5463	i_croc_soc/i_croc/_6841_/B2
eco_sram_cap_b0_d26	net5463	i_croc_soc/i_croc/_7292_/B2
eco_sram_cap_b0_d26	net5463	i_croc_soc/i_croc/_6281_/B2
eco_sram_cap_b0_d26	net5463	i_croc_soc/i_croc/_6648_/B2
eco_sram_cap_b0_d27	net5462	i_croc_soc/i_croc/_6848_/B2
eco_sram_cap_b0_d27	net5462	i_croc_soc/i_croc/_6302_/B2
eco_sram_cap_b0_d27	net5462	i_croc_soc/i_croc/_7290_/B2
eco_sram_cap_b0_d27	net5462	i_croc_soc/i_croc/_6655_/B2
eco_sram_cap_b0_d28	net5461	i_croc_soc/i_croc/_6852_/B2
eco_sram_cap_b0_d28	net5461	i_croc_soc/i_croc/_6314_/B2
eco_sram_cap_b0_d28	net5461	i_croc_soc/i_croc/_7255_/B2
eco_sram_cap_b0_d28	net5461	i_croc_soc/i_croc/_6659_/B2
