instance	pin	net	buffer	pin_center_x_dbu	macro_bottom_y_dbu
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[0]	net5481	eco_sram_cap_b0_d00	383070	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[1]	net5470	eco_sram_cap_b0_d01	394310	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[2]	net5459	eco_sram_cap_b0_d02	405550	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[3]	net5456	eco_sram_cap_b0_d03	416790	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[4]	net5455	eco_sram_cap_b0_d04	428030	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[5]	net5454	eco_sram_cap_b0_d05	439270	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[6]	net5453	eco_sram_cap_b0_d06	450510	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[7]	net5452	eco_sram_cap_b0_d07	461750	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[8]	net5451	eco_sram_cap_b0_d08	472990	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[9]	net5450	eco_sram_cap_b0_d09	484230	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[10]	net5480	eco_sram_cap_b0_d10	495470	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[11]	net5479	eco_sram_cap_b0_d11	506710	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[12]	net5478	eco_sram_cap_b0_d12	517950	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[13]	net5477	eco_sram_cap_b0_d13	529190	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[14]	net5476	eco_sram_cap_b0_d14	540430	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[15]	net5475	eco_sram_cap_b0_d15	551670	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[16]	net5474	eco_sram_cap_b0_d16	609610	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[17]	net5473	eco_sram_cap_b0_d17	620850	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[18]	net5472	eco_sram_cap_b0_d18	632090	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[19]	net5471	eco_sram_cap_b0_d19	643330	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[20]	net5469	eco_sram_cap_b0_d20	654570	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[21]	net5468	eco_sram_cap_b0_d21	665810	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[22]	net5467	eco_sram_cap_b0_d22	677050	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[23]	net5466	eco_sram_cap_b0_d23	688290	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[24]	net5465	eco_sram_cap_b0_d24	699530	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[25]	net5464	eco_sram_cap_b0_d25	710770	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[26]	net5463	eco_sram_cap_b0_d26	722010	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[27]	net5462	eco_sram_cap_b0_d27	733250	1410280
i_croc_soc/i_croc/gen_sram_bank\[0\].i_sram/gen_512x32xBx1.i_cut	A_DOUT[28]	net5461	eco_sram_cap_b0_d28	744490	1410280
