name	master	orientation	xmin	ymin	xmax	ymax
pad_clk_i	sg13g2_IOPadIn	MXR90	92000	1082000	272000	1162000
pad_gpio0_io	sg13g2_IOPadInOut30mA	R0	452000	92000	532000	272000
pad_gpio10_io	sg13g2_IOPadInOut30mA	R0	1352000	92000	1432000	272000
pad_gpio11_io	sg13g2_IOPadInOut30mA	R0	1442000	92000	1522000	272000
pad_gpio12_io	sg13g2_IOPadInOut30mA	R90	1702000	452000	1882000	532000
pad_gpio13_io	sg13g2_IOPadInOut30mA	R90	1702000	542000	1882000	622000
pad_gpio14_io	sg13g2_IOPadInOut30mA	R90	1702000	632000	1882000	712000
pad_gpio15_io	sg13g2_IOPadInOut30mA	R90	1702000	722000	1882000	802000
pad_gpio16_io	sg13g2_IOPadInOut30mA	R90	1702000	812000	1882000	892000
pad_gpio17_io	sg13g2_IOPadInOut30mA	R90	1702000	902000	1882000	982000
pad_gpio18_io	sg13g2_IOPadInOut30mA	R90	1702000	992000	1882000	1072000
pad_gpio19_io	sg13g2_IOPadInOut30mA	R90	1702000	1082000	1882000	1162000
pad_gpio1_io	sg13g2_IOPadInOut30mA	R0	542000	92000	622000	272000
pad_gpio20_io	sg13g2_IOPadInOut30mA	R90	1702000	1172000	1882000	1252000
pad_gpio21_io	sg13g2_IOPadInOut30mA	R90	1702000	1262000	1882000	1342000
pad_gpio22_io	sg13g2_IOPadInOut30mA	R90	1702000	1352000	1882000	1432000
pad_gpio23_io	sg13g2_IOPadInOut30mA	R90	1702000	1442000	1882000	1522000
pad_gpio24_io	sg13g2_IOPadInOut30mA	MX	1442000	1702000	1522000	1882000
pad_gpio25_io	sg13g2_IOPadInOut30mA	MX	1352000	1702000	1432000	1882000
pad_gpio26_io	sg13g2_IOPadInOut30mA	MX	1262000	1702000	1342000	1882000
pad_gpio27_io	sg13g2_IOPadInOut30mA	MX	1172000	1702000	1252000	1882000
pad_gpio28_io	sg13g2_IOPadInOut30mA	MX	1082000	1702000	1162000	1882000
pad_gpio29_io	sg13g2_IOPadInOut30mA	MX	992000	1702000	1072000	1882000
pad_gpio2_io	sg13g2_IOPadInOut30mA	R0	632000	92000	712000	272000
pad_gpio30_io	sg13g2_IOPadInOut30mA	MX	902000	1702000	982000	1882000
pad_gpio31_io	sg13g2_IOPadInOut30mA	MX	812000	1702000	892000	1882000
pad_gpio3_io	sg13g2_IOPadInOut30mA	R0	722000	92000	802000	272000
pad_gpio4_io	sg13g2_IOPadInOut30mA	R0	812000	92000	892000	272000
pad_gpio5_io	sg13g2_IOPadInOut30mA	R0	902000	92000	982000	272000
pad_gpio6_io	sg13g2_IOPadInOut30mA	R0	992000	92000	1072000	272000
pad_gpio7_io	sg13g2_IOPadInOut30mA	R0	1082000	92000	1162000	272000
pad_gpio8_io	sg13g2_IOPadInOut30mA	R0	1172000	92000	1252000	272000
pad_gpio9_io	sg13g2_IOPadInOut30mA	R0	1262000	92000	1342000	272000
pad_jtag_tck_i	sg13g2_IOPadIn	MXR90	92000	812000	272000	892000
pad_jtag_tdi_i	sg13g2_IOPadIn	MXR90	92000	542000	272000	622000
pad_jtag_tdo_o	sg13g2_IOPadOut16mA	MXR90	92000	452000	272000	532000
pad_jtag_tms_i	sg13g2_IOPadIn	MXR90	92000	632000	272000	712000
