instance	pin	net
pad_clk_i	iovdd	VDDIO
pad_clk_i	iovss	VSSIO
pad_clk_i	p2c	soc_clk_i
pad_clk_i	pad	clk_i
pad_clk_i	vdd	VDD
pad_clk_i	vss	VSS
pad_gpio0_io	c2p	soc_gpio_o_0_
pad_gpio0_io	c2p_en	soc_gpio_out_en_o_0_
pad_gpio0_io	iovdd	VDDIO
pad_gpio0_io	iovss	VSSIO
pad_gpio0_io	p2c	soc_gpio_i_0_
pad_gpio0_io	pad	gpio0_io
pad_gpio0_io	vdd	VDD
pad_gpio0_io	vss	VSS
pad_gpio10_io	c2p	soc_gpio_o_10_
pad_gpio10_io	c2p_en	soc_gpio_out_en_o_10_
pad_gpio10_io	iovdd	VDDIO
pad_gpio10_io	iovss	VSSIO
pad_gpio10_io	p2c	soc_gpio_i_10_
pad_gpio10_io	pad	gpio10_io
pad_gpio10_io	vdd	VDD
pad_gpio10_io	vss	VSS
pad_gpio11_io	c2p	soc_gpio_o_11_
pad_gpio11_io	c2p_en	soc_gpio_out_en_o_11_
pad_gpio11_io	iovdd	VDDIO
pad_gpio11_io	iovss	VSSIO
pad_gpio11_io	p2c	soc_gpio_i_11_
pad_gpio11_io	pad	gpio11_io
pad_gpio11_io	vdd	VDD
pad_gpio11_io	vss	VSS
pad_gpio12_io	c2p	soc_gpio_o_12_
pad_gpio12_io	c2p_en	soc_gpio_out_en_o_12_
pad_gpio12_io	iovdd	VDDIO
pad_gpio12_io	iovss	VSSIO
pad_gpio12_io	p2c	soc_gpio_i_12_
pad_gpio12_io	pad	gpio12_io
pad_gpio12_io	vdd	VDD
pad_gpio12_io	vss	VSS
pad_gpio13_io	c2p	soc_gpio_o_13_
pad_gpio13_io	c2p_en	soc_gpio_out_en_o_13_
pad_gpio13_io	iovdd	VDDIO
pad_gpio13_io	iovss	VSSIO
pad_gpio13_io	p2c	soc_gpio_i_13_
pad_gpio13_io	pad	gpio13_io
pad_gpio13_io	vdd	VDD
pad_gpio13_io	vss	VSS
pad_gpio14_io	c2p	soc_gpio_o_14_
pad_gpio14_io	c2p_en	soc_gpio_out_en_o_14_
pad_gpio14_io	iovdd	VDDIO
pad_gpio14_io	iovss	VSSIO
pad_gpio14_io	p2c	soc_gpio_i_14_
pad_gpio14_io	pad	gpio14_io
pad_gpio14_io	vdd	VDD
pad_gpio14_io	vss	VSS
pad_gpio15_io	c2p	soc_gpio_o_15_
pad_gpio15_io	c2p_en	soc_gpio_out_en_o_15_
pad_gpio15_io	iovdd	VDDIO
pad_gpio15_io	iovss	VSSIO
pad_gpio15_io	p2c	soc_gpio_i_15_
pad_gpio15_io	pad	gpio15_io
pad_gpio15_io	vdd	VDD
pad_gpio15_io	vss	VSS
pad_gpio16_io	c2p	soc_gpio_o_16_
pad_gpio16_io	c2p_en	soc_gpio_out_en_o_16_
pad_gpio16_io	iovdd	VDDIO
pad_gpio16_io	iovss	VSSIO
pad_gpio16_io	p2c	soc_gpio_i_16_
pad_gpio16_io	pad	gpio16_io
pad_gpio16_io	vdd	VDD
pad_gpio16_io	vss	VSS
pad_gpio17_io	c2p	soc_gpio_o_17_
pad_gpio17_io	c2p_en	soc_gpio_out_en_o_17_
pad_gpio17_io	iovdd	VDDIO
pad_gpio17_io	iovss	VSSIO
pad_gpio17_io	p2c	soc_gpio_i_17_
pad_gpio17_io	pad	gpio17_io
pad_gpio17_io	vdd	VDD
pad_gpio17_io	vss	VSS
pad_gpio18_io	c2p	soc_gpio_o_18_
pad_gpio18_io	c2p_en	soc_gpio_out_en_o_18_
pad_gpio18_io	iovdd	VDDIO
pad_gpio18_io	iovss	VSSIO
pad_gpio18_io	p2c	soc_gpio_i_18_
pad_gpio18_io	pad	gpio18_io
pad_gpio18_io	vdd	VDD
pad_gpio18_io	vss	VSS
pad_gpio19_io	c2p	soc_gpio_o_19_
pad_gpio19_io	c2p_en	soc_gpio_out_en_o_19_
pad_gpio19_io	iovdd	VDDIO
pad_gpio19_io	iovss	VSSIO
pad_gpio19_io	p2c	soc_gpio_i_19_
pad_gpio19_io	pad	gpio19_io
pad_gpio19_io	vdd	VDD
pad_gpio19_io	vss	VSS
pad_gpio1_io	c2p	soc_gpio_o_1_
pad_gpio1_io	c2p_en	soc_gpio_out_en_o_1_
pad_gpio1_io	iovdd	VDDIO
pad_gpio1_io	iovss	VSSIO
pad_gpio1_io	p2c	soc_gpio_i_1_
pad_gpio1_io	pad	gpio1_io
pad_gpio1_io	vdd	VDD
pad_gpio1_io	vss	VSS
pad_gpio20_io	c2p	soc_gpio_o_20_
pad_gpio20_io	c2p_en	soc_gpio_out_en_o_20_
pad_gpio20_io	iovdd	VDDIO
pad_gpio20_io	iovss	VSSIO
pad_gpio20_io	p2c	soc_gpio_i_20_
pad_gpio20_io	pad	gpio20_io
pad_gpio20_io	vdd	VDD
pad_gpio20_io	vss	VSS
pad_gpio21_io	c2p	soc_gpio_o_21_
pad_gpio21_io	c2p_en	soc_gpio_out_en_o_21_
pad_gpio21_io	iovdd	VDDIO
pad_gpio21_io	iovss	VSSIO
pad_gpio21_io	p2c	soc_gpio_i_21_
pad_gpio21_io	pad	gpio21_io
pad_gpio21_io	vdd	VDD
pad_gpio21_io	vss	VSS
pad_gpio22_io	c2p	soc_gpio_o_22_
pad_gpio22_io	c2p_en	soc_gpio_out_en_o_22_
pad_gpio22_io	iovdd	VDDIO
pad_gpio22_io	iovss	VSSIO
pad_gpio22_io	p2c	soc_gpio_i_22_
pad_gpio22_io	pad	gpio22_io
pad_gpio22_io	vdd	VDD
pad_gpio22_io	vss	VSS
pad_gpio23_io	c2p	soc_gpio_o_23_
pad_gpio23_io	c2p_en	soc_gpio_out_en_o_23_
pad_gpio23_io	iovdd	VDDIO
pad_gpio23_io	iovss	VSSIO
pad_gpio23_io	p2c	soc_gpio_i_23_
pad_gpio23_io	pad	gpio23_io
pad_gpio23_io	vdd	VDD
pad_gpio23_io	vss	VSS
pad_gpio24_io	c2p	soc_gpio_o_24_
pad_gpio24_io	c2p_en	soc_gpio_out_en_o_24_
pad_gpio24_io	iovdd	VDDIO
pad_gpio24_io	iovss	VSSIO
pad_gpio24_io	p2c	soc_gpio_i_24_
pad_gpio24_io	pad	gpio24_io
pad_gpio24_io	vdd	VDD
pad_gpio24_io	vss	VSS
pad_gpio25_io	c2p	soc_gpio_o_25_
pad_gpio25_io	c2p_en	soc_gpio_out_en_o_25_
pad_gpio25_io	iovdd	VDDIO
pad_gpio25_io	iovss	VSSIO
pad_gpio25_io	p2c	soc_gpio_i_25_
pad_gpio25_io	pad	gpio25_io
pad_gpio25_io	vdd	VDD
pad_gpio25_io	vss	VSS
pad_gpio26_io	c2p	soc_gpio_o_26_
pad_gpio26_io	c2p_en	soc_gpio_out_en_o_26_
pad_gpio26_io	iovdd	VDDIO
pad_gpio26_io	iovss	VSSIO
