bond	io	net	layer	xmin	ymin	xmax	ymax
IO_BOND_pad_clk_i	pad_clk_i	clk_i	Metal2	87800	1087000	92000	1157000
IO_BOND_pad_clk_i	pad_clk_i	clk_i	Metal3	87800	1087000	92000	1157000
IO_BOND_pad_clk_i	pad_clk_i	clk_i	Metal4	87800	1087000	92000	1157000
IO_BOND_pad_clk_i	pad_clk_i	clk_i	Metal5	87800	1087000	92000	1157000
IO_BOND_pad_clk_i	pad_clk_i	clk_i	TopMetal1	87800	1087000	92000	1157000
IO_BOND_pad_clk_i	pad_clk_i	clk_i	TopMetal2	87800	1087000	92000	1157000
IO_BOND_pad_gpio0_io	pad_gpio0_io	gpio0_io	Metal2	457000	87800	527000	92000
IO_BOND_pad_gpio0_io	pad_gpio0_io	gpio0_io	Metal3	457000	87800	527000	92000
IO_BOND_pad_gpio0_io	pad_gpio0_io	gpio0_io	Metal4	457000	87800	527000	92000
IO_BOND_pad_gpio0_io	pad_gpio0_io	gpio0_io	Metal5	457000	87800	527000	92000
IO_BOND_pad_gpio0_io	pad_gpio0_io	gpio0_io	TopMetal1	457000	87800	527000	92000
IO_BOND_pad_gpio0_io	pad_gpio0_io	gpio0_io	TopMetal2	457000	87800	527000	92000
IO_BOND_pad_gpio10_io	pad_gpio10_io	gpio10_io	Metal2	1357000	87800	1427000	92000
IO_BOND_pad_gpio10_io	pad_gpio10_io	gpio10_io	Metal3	1357000	87800	1427000	92000
IO_BOND_pad_gpio10_io	pad_gpio10_io	gpio10_io	Metal4	1357000	87800	1427000	92000
IO_BOND_pad_gpio10_io	pad_gpio10_io	gpio10_io	Metal5	1357000	87800	1427000	92000
IO_BOND_pad_gpio10_io	pad_gpio10_io	gpio10_io	TopMetal1	1357000	87800	1427000	92000
IO_BOND_pad_gpio10_io	pad_gpio10_io	gpio10_io	TopMetal2	1357000	87800	1427000	92000
IO_BOND_pad_gpio11_io	pad_gpio11_io	gpio11_io	Metal2	1447000	87800	1517000	92000
IO_BOND_pad_gpio11_io	pad_gpio11_io	gpio11_io	Metal3	1447000	87800	1517000	92000
IO_BOND_pad_gpio11_io	pad_gpio11_io	gpio11_io	Metal4	1447000	87800	1517000	92000
IO_BOND_pad_gpio11_io	pad_gpio11_io	gpio11_io	Metal5	1447000	87800	1517000	92000
IO_BOND_pad_gpio11_io	pad_gpio11_io	gpio11_io	TopMetal1	1447000	87800	1517000	92000
IO_BOND_pad_gpio11_io	pad_gpio11_io	gpio11_io	TopMetal2	1447000	87800	1517000	92000
IO_BOND_pad_gpio12_io	pad_gpio12_io	gpio12_io	Metal2	1882000	457000	1886200	527000
IO_BOND_pad_gpio12_io	pad_gpio12_io	gpio12_io	Metal3	1882000	457000	1886200	527000
IO_BOND_pad_gpio12_io	pad_gpio12_io	gpio12_io	Metal4	1882000	457000	1886200	527000
IO_BOND_pad_gpio12_io	pad_gpio12_io	gpio12_io	Metal5	1882000	457000	1886200	527000
IO_BOND_pad_gpio12_io	pad_gpio12_io	gpio12_io	TopMetal1	1882000	457000	1886200	527000
IO_BOND_pad_gpio12_io	pad_gpio12_io	gpio12_io	TopMetal2	1882000	457000	1886200	527000
IO_BOND_pad_gpio13_io	pad_gpio13_io	gpio13_io	Metal2	1882000	547000	1886200	617000
IO_BOND_pad_gpio13_io	pad_gpio13_io	gpio13_io	Metal3	1882000	547000	1886200	617000
