instance	master	pin	direction	net
IO_BOND_pad_clk_i	bondpad70_m2_ring	pad	INOUT	clk_i
IO_BOND_pad_gpio0_io	bondpad70_m2_ring	pad	INOUT	gpio0_io
IO_BOND_pad_gpio10_io	bondpad70_m2_ring	pad	INOUT	gpio10_io
IO_BOND_pad_gpio11_io	bondpad70_m2_ring	pad	INOUT	gpio11_io
IO_BOND_pad_gpio12_io	bondpad70_m2_ring	pad	INOUT	gpio12_io
IO_BOND_pad_gpio13_io	bondpad70_m2_ring	pad	INOUT	gpio13_io
IO_BOND_pad_gpio14_io	bondpad70_m2_ring	pad	INOUT	gpio14_io
IO_BOND_pad_gpio15_io	bondpad70_m2_ring	pad	INOUT	gpio15_io
IO_BOND_pad_gpio16_io	bondpad70_m2_ring	pad	INOUT	gpio16_io
IO_BOND_pad_gpio17_io	bondpad70_m2_ring	pad	INOUT	gpio17_io
IO_BOND_pad_gpio18_io	bondpad70_m2_ring	pad	INOUT	gpio18_io
IO_BOND_pad_gpio19_io	bondpad70_m2_ring	pad	INOUT	gpio19_io
IO_BOND_pad_gpio1_io	bondpad70_m2_ring	pad	INOUT	gpio1_io
IO_BOND_pad_gpio20_io	bondpad70_m2_ring	pad	INOUT	gpio20_io
IO_BOND_pad_gpio21_io	bondpad70_m2_ring	pad	INOUT	gpio21_io
IO_BOND_pad_gpio22_io	bondpad70_m2_ring	pad	INOUT	gpio22_io
IO_BOND_pad_gpio23_io	bondpad70_m2_ring	pad	INOUT	gpio23_io
IO_BOND_pad_gpio24_io	bondpad70_m2_ring	pad	INOUT	gpio24_io
IO_BOND_pad_gpio25_io	bondpad70_m2_ring	pad	INOUT	gpio25_io
IO_BOND_pad_gpio26_io	bondpad70_m2_ring	pad	INOUT	gpio26_io
IO_BOND_pad_gpio27_io	bondpad70_m2_ring	pad	INOUT	gpio27_io
IO_BOND_pad_gpio28_io	bondpad70_m2_ring	pad	INOUT	gpio28_io
IO_BOND_pad_gpio29_io	bondpad70_m2_ring	pad	INOUT	gpio29_io
IO_BOND_pad_gpio2_io	bondpad70_m2_ring	pad	INOUT	gpio2_io
IO_BOND_pad_gpio30_io	bondpad70_m2_ring	pad	INOUT	gpio30_io
IO_BOND_pad_gpio31_io	bondpad70_m2_ring	pad	INOUT	gpio31_io
IO_BOND_pad_gpio3_io	bondpad70_m2_ring	pad	INOUT	gpio3_io
IO_BOND_pad_gpio4_io	bondpad70_m2_ring	pad	INOUT	gpio4_io
IO_BOND_pad_gpio5_io	bondpad70_m2_ring	pad	INOUT	gpio5_io
IO_BOND_pad_gpio6_io	bondpad70_m2_ring	pad	INOUT	gpio6_io
IO_BOND_pad_gpio7_io	bondpad70_m2_ring	pad	INOUT	gpio7_io
IO_BOND_pad_gpio8_io	bondpad70_m2_ring	pad	INOUT	gpio8_io
IO_BOND_pad_gpio9_io	bondpad70_m2_ring	pad	INOUT	gpio9_io
IO_BOND_pad_jtag_tck_i	bondpad70_m2_ring	pad	INOUT	jtag_tck_i
IO_BOND_pad_jtag_tdi_i	bondpad70_m2_ring	pad	INOUT	jtag_tdi_i
IO_BOND_pad_jtag_tdo_o	bondpad70_m2_ring	pad	INOUT	jtag_tdo_o
IO_BOND_pad_jtag_tms_i	bondpad70_m2_ring	pad	INOUT	jtag_tms_i
IO_BOND_pad_jtag_trst_ni	bondpad70_m2_ring	pad	INOUT	jtag_trst_ni
IO_BOND_pad_ref_clk_i	bondpad70_m2_ring	pad	INOUT	ref_clk_i
IO_BOND_pad_rst_ni	bondpad70_m2_ring	pad	INOUT	rst_ni
IO_BOND_pad_status_o	bondpad70_m2_ring	pad	INOUT	status_o
IO_BOND_pad_testmode_i	bondpad70_m2_ring	pad	INOUT	testmode_i
IO_BOND_pad_uart_rx_i	bondpad70_m2_ring	pad	INOUT	uart_rx_i
IO_BOND_pad_uart_tx_o	bondpad70_m2_ring	pad	INOUT	uart_tx_o
IO_BOND_pad_unused0_o	bondpad70_m2_ring	pad	INOUT	unused0_o
IO_BOND_pad_unused1_o	bondpad70_m2_ring	pad	INOUT	unused1_o
IO_BOND_pad_unused2_o	bondpad70_m2_ring	pad	INOUT	unused2_o
IO_BOND_pad_unused3_o	bondpad70_m2_ring	pad	INOUT	unused3_o
IO_BOND_pad_vdd0	bondpad70_m2_ring	pad	INOUT	VDD
IO_BOND_pad_vdd1	bondpad70_m2_ring	pad	INOUT	VDD
IO_BOND_pad_vdd2	bondpad70_m2_ring	pad	INOUT	VDD
IO_BOND_pad_vdd3	bondpad70_m2_ring	pad	INOUT	VDD
IO_BOND_pad_vddio0	bondpad70_m2_ring	pad	INOUT	VDDIO
IO_BOND_pad_vddio1	bondpad70_m2_ring	pad	INOUT	VDDIO
IO_BOND_pad_vddio2	bondpad70_m2_ring	pad	INOUT	VDDIO
IO_BOND_pad_vddio3	bondpad70_m2_ring	pad	INOUT	VDDIO
IO_BOND_pad_vss0	bondpad70_m2_ring	pad	INOUT	VSS
IO_BOND_pad_vss1	bondpad70_m2_ring	pad	INOUT	VSS
IO_BOND_pad_vss2	bondpad70_m2_ring	pad	INOUT	VSS
IO_BOND_pad_vss3	bondpad70_m2_ring	pad	INOUT	VSS
IO_BOND_pad_vssio0	bondpad70_m2_ring	pad	INOUT	VSSIO
IO_BOND_pad_vssio1	bondpad70_m2_ring	pad	INOUT	VSSIO
IO_BOND_pad_vssio2	bondpad70_m2_ring	pad	INOUT	VSSIO
IO_BOND_pad_vssio3	bondpad70_m2_ring	pad	INOUT	VSSIO
