instance	master	pin	direction	net
IO_BOND_pad_clk_i	bondpad70_m2_ring	pad	INPUT	clk_i
IO_BOND_pad_gpio0_io	bondpad70_m2_ring	pad	INPUT	gpio0_io
IO_BOND_pad_gpio10_io	bondpad70_m2_ring	pad	INPUT	gpio10_io
IO_BOND_pad_gpio11_io	bondpad70_m2_ring	pad	INPUT	gpio11_io
IO_BOND_pad_gpio12_io	bondpad70_m2_ring	pad	INPUT	gpio12_io
IO_BOND_pad_gpio13_io	bondpad70_m2_ring	pad	INPUT	gpio13_io
IO_BOND_pad_gpio14_io	bondpad70_m2_ring	pad	INPUT	gpio14_io
IO_BOND_pad_gpio15_io	bondpad70_m2_ring	pad	INPUT	gpio15_io
IO_BOND_pad_gpio16_io	bondpad70_m2_ring	pad	INPUT	gpio16_io
IO_BOND_pad_gpio17_io	bondpad70_m2_ring	pad	INPUT	gpio17_io
IO_BOND_pad_gpio18_io	bondpad70_m2_ring	pad	INPUT	gpio18_io
IO_BOND_pad_gpio19_io	bondpad70_m2_ring	pad	INPUT	gpio19_io
IO_BOND_pad_gpio1_io	bondpad70_m2_ring	pad	INPUT	gpio1_io
IO_BOND_pad_gpio20_io	bondpad70_m2_ring	pad	INPUT	gpio20_io
IO_BOND_pad_gpio21_io	bondpad70_m2_ring	pad	INPUT	gpio21_io
IO_BOND_pad_gpio22_io	bondpad70_m2_ring	pad	INPUT	gpio22_io
IO_BOND_pad_gpio23_io	bondpad70_m2_ring	pad	INPUT	gpio23_io
IO_BOND_pad_gpio24_io	bondpad70_m2_ring	pad	INPUT	gpio24_io
IO_BOND_pad_gpio25_io	bondpad70_m2_ring	pad	INPUT	gpio25_io
IO_BOND_pad_gpio26_io	bondpad70_m2_ring	pad	INPUT	gpio26_io
IO_BOND_pad_gpio27_io	bondpad70_m2_ring	pad	INPUT	gpio27_io
IO_BOND_pad_gpio28_io	bondpad70_m2_ring	pad	INPUT	gpio28_io
IO_BOND_pad_gpio29_io	bondpad70_m2_ring	pad	INPUT	gpio29_io
IO_BOND_pad_gpio2_io	bondpad70_m2_ring	pad	INPUT	gpio2_io
IO_BOND_pad_gpio30_io	bondpad70_m2_ring	pad	INPUT	gpio30_io
IO_BOND_pad_gpio31_io	bondpad70_m2_ring	pad	INPUT	gpio31_io
IO_BOND_pad_gpio3_io	bondpad70_m2_ring	pad	INPUT	gpio3_io
IO_BOND_pad_gpio4_io	bondpad70_m2_ring	pad	INPUT	gpio4_io
IO_BOND_pad_gpio5_io	bondpad70_m2_ring	pad	INPUT	gpio5_io
IO_BOND_pad_gpio6_io	bondpad70_m2_ring	pad	INPUT	gpio6_io
IO_BOND_pad_gpio7_io	bondpad70_m2_ring	pad	INPUT	gpio7_io
IO_BOND_pad_gpio8_io	bondpad70_m2_ring	pad	INPUT	gpio8_io
IO_BOND_pad_gpio9_io	bondpad70_m2_ring	pad	INPUT	gpio9_io
IO_BOND_pad_jtag_tck_i	bondpad70_m2_ring	pad	INPUT	jtag_tck_i
IO_BOND_pad_jtag_tdi_i	bondpad70_m2_ring	pad	INPUT	jtag_tdi_i
IO_BOND_pad_jtag_tdo_o	bondpad70_m2_ring	pad	INPUT	jtag_tdo_o
IO_BOND_pad_jtag_tms_i	bondpad70_m2_ring	pad	INPUT	jtag_tms_i
IO_BOND_pad_jtag_trst_ni	bondpad70_m2_ring	pad	INPUT	jtag_trst_ni
IO_BOND_pad_ref_clk_i	bondpad70_m2_ring	pad	INPUT	ref_clk_i
IO_BOND_pad_rst_ni	bondpad70_m2_ring	pad	INPUT	rst_ni
IO_BOND_pad_status_o	bondpad70_m2_ring	pad	INPUT	status_o
IO_BOND_pad_testmode_i	bondpad70_m2_ring	pad	INPUT	testmode_i
IO_BOND_pad_uart_rx_i	bondpad70_m2_ring	pad	INPUT	uart_rx_i
IO_BOND_pad_uart_tx_o	bondpad70_m2_ring	pad	INPUT	uart_tx_o
IO_BOND_pad_unused0_o	bondpad70_m2_ring	pad	INPUT	unused0_o
IO_BOND_pad_unused1_o	bondpad70_m2_ring	pad	INPUT	unused1_o
IO_BOND_pad_unused2_o	bondpad70_m2_ring	pad	INPUT	unused2_o
IO_BOND_pad_unused3_o	bondpad70_m2_ring	pad	INPUT	unused3_o
IO_BOND_pad_vdd0	bondpad70_m2_ring	pad	INPUT	VDD
IO_BOND_pad_vdd1	bondpad70_m2_ring	pad	INPUT	VDD
IO_BOND_pad_vdd2	bondpad70_m2_ring	pad	INPUT	VDD
IO_BOND_pad_vdd3	bondpad70_m2_ring	pad	INPUT	VDD
IO_BOND_pad_vddio0	bondpad70_m2_ring	pad	INPUT	VDDIO
IO_BOND_pad_vddio1	bondpad70_m2_ring	pad	INPUT	VDDIO
IO_BOND_pad_vddio2	bondpad70_m2_ring	pad	INPUT	VDDIO
IO_BOND_pad_vddio3	bondpad70_m2_ring	pad	INPUT	VDDIO
IO_BOND_pad_vss0	bondpad70_m2_ring	pad	INPUT	VSS
IO_BOND_pad_vss1	bondpad70_m2_ring	pad	INPUT	VSS
IO_BOND_pad_vss2	bondpad70_m2_ring	pad	INPUT	VSS
IO_BOND_pad_vss3	bondpad70_m2_ring	pad	INPUT	VSS
IO_BOND_pad_vssio0	bondpad70_m2_ring	pad	INPUT	VSSIO
IO_BOND_pad_vssio1	bondpad70_m2_ring	pad	INPUT	VSSIO
IO_BOND_pad_vssio2	bondpad70_m2_ring	pad	INPUT	VSSIO
IO_BOND_pad_vssio3	bondpad70_m2_ring	pad	INPUT	VSSIO
