# Logfile created on 2026-09-10 14:30:09 +0200 by logger.rb/v1.5.3
2026-09-10 14:30:09 +0200: Memory Usage (439248K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/runs/ihp-io-physical-20260910-001/geometry/sg13g2_IOPadOut16mA.gds
2026-09-10 14:30:09 +0200: Memory Usage (439248K) : Ruby Version for klayout: 3.2.3
2026-09-10 14:30:09 +0200: Memory Usage (440808K) : Loading database to memory is complete.
2026-09-10 14:30:09 +0200: Memory Usage (440808K) : IHP-SG13G2 KLayout DRC runset output at: /output/sg13g2_IOPadOut16mA_sg13g2_IOPadOut16mA_main.lyrdb
2026-09-10 14:30:09 +0200: Memory Usage (440952K) : Evaluate switches.
2026-09-10 14:30:09 +0200: Memory Usage (440952K) : tables selected: main
2026-09-10 14:30:09 +0200: Memory Usage (440952K) : KLayout will use 1 thread(s) in tiling mode.
2026-09-10 14:30:09 +0200: Memory Usage (440952K) : deep mode is enabled.
2026-09-10 14:30:09 +0200: Memory Usage (440952K) : FEOL enabled: true
2026-09-10 14:30:09 +0200: Memory Usage (440952K) : BEOL enabled: true
2026-09-10 14:30:09 +0200: Memory Usage (440952K) : OFFGRID enabled: true
2026-09-10 14:30:09 +0200: Memory Usage (440952K) : ANGLE enabled: true
2026-09-10 14:30:09 +0200: Memory Usage (440952K) : PIN enabled: true
2026-09-10 14:30:09 +0200: Memory Usage (440952K) : FORBIDDEN enabled: true
2026-09-10 14:30:09 +0200: Memory Usage (440952K) : RECOMMENDED enabled: true
2026-09-10 14:30:09 +0200: Memory Usage (440952K) : PreCheck DRC enabled: false
2026-09-10 14:30:09 +0200: Memory Usage (440952K) : CONNECTIVITY_RULES enabled: true.
2026-09-10 14:30:09 +0200: Memory Usage (440952K) : Read in polygons from layers.
2026-09-10 14:30:09 +0200: Memory Usage (442440K) : activ_drw has 75 polygons
2026-09-10 14:30:09 +0200: Memory Usage (442440K) : activ_pin has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (442440K) : activ_mask has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (442440K) : activ_filler has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (442440K) : activ_nofill has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (442440K) : activ_opc has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (442440K) : activ_iopc has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (442440K) : activ_noqrc has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (442440K) : biwind_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (442440K) : biwind_opc has 0 polygons
