instance	master	pin	direction	signal_type	net
out16	sg13g2_IOPadOut30mA	c2p	INPUT	SIGNAL	out_core
out16	sg13g2_IOPadOut30mA	iovdd	INOUT	POWER	iovdd
out16	sg13g2_IOPadOut30mA	iovss	INOUT	GROUND	iovss
out16	sg13g2_IOPadOut30mA	pad	OUTPUT	SIGNAL	out_pad
out16	sg13g2_IOPadOut30mA	vdd	INOUT	POWER	vdd
out16	sg13g2_IOPadOut30mA	vss	INOUT	GROUND	vss
bi_tx	sg13g2_IOPadInOut30mA	c2p	INPUT	SIGNAL	bi_tx_core
bi_tx	sg13g2_IOPadInOut30mA	c2p_en	INPUT	SIGNAL	bi_tx_en
bi_tx	sg13g2_IOPadInOut30mA	iovdd	INOUT	POWER	iovdd
bi_tx	sg13g2_IOPadInOut30mA	iovss	INOUT	GROUND	iovss
bi_tx	sg13g2_IOPadInOut30mA	p2c	OUTPUT	SIGNAL	bi_tx_rx
bi_tx	sg13g2_IOPadInOut30mA	pad	INOUT	SIGNAL	bi_tx_pad
bi_tx	sg13g2_IOPadInOut30mA	vdd	INOUT	POWER	vdd
bi_tx	sg13g2_IOPadInOut30mA	vss	INOUT	GROUND	vss
bi_rx	sg13g2_IOPadInOut30mA	c2p	INPUT	SIGNAL	bi_rx_core
bi_rx	sg13g2_IOPadInOut30mA	c2p_en	INPUT	SIGNAL	bi_rx_en
bi_rx	sg13g2_IOPadInOut30mA	iovdd	INOUT	POWER	iovdd
bi_rx	sg13g2_IOPadInOut30mA	iovss	INOUT	GROUND	iovss
bi_rx	sg13g2_IOPadInOut30mA	p2c	OUTPUT	SIGNAL	bi_rx_rx
bi_rx	sg13g2_IOPadInOut30mA	pad	INOUT	SIGNAL	bi_rx_pad
bi_rx	sg13g2_IOPadInOut30mA	vdd	INOUT	POWER	vdd
bi_rx	sg13g2_IOPadInOut30mA	vss	INOUT	GROUND	vss
bi_z	sg13g2_IOPadInOut30mA	c2p	INPUT	SIGNAL	bi_z_core
bi_z	sg13g2_IOPadInOut30mA	c2p_en	INPUT	SIGNAL	bi_z_en
bi_z	sg13g2_IOPadInOut30mA	iovdd	INOUT	POWER	iovdd
bi_z	sg13g2_IOPadInOut30mA	iovss	INOUT	GROUND	iovss
bi_z	sg13g2_IOPadInOut30mA	p2c	OUTPUT	SIGNAL	bi_z_rx
bi_z	sg13g2_IOPadInOut30mA	pad	INOUT	SIGNAL	bi_z_pad
bi_z	sg13g2_IOPadInOut30mA	vdd	INOUT	POWER	vdd
bi_z	sg13g2_IOPadInOut30mA	vss	INOUT	GROUND	vss
in_data	sg13g2_IOPadIn	iovdd	INOUT	POWER	iovdd
in_data	sg13g2_IOPadIn	iovss	INOUT	GROUND	iovss
in_data	sg13g2_IOPadIn	p2c	OUTPUT	SIGNAL	in_core
in_data	sg13g2_IOPadIn	pad	INPUT	SIGNAL	in_pad
in_data	sg13g2_IOPadIn	vdd	INOUT	POWER	vdd
in_data	sg13g2_IOPadIn	vss	INOUT	GROUND	vss
in_clock	sg13g2_IOPadIn	iovdd	INOUT	POWER	iovdd
in_clock	sg13g2_IOPadIn	iovss	INOUT	GROUND	iovss
in_clock	sg13g2_IOPadIn	p2c	OUTPUT	SIGNAL	clk_core
in_clock	sg13g2_IOPadIn	pad	INPUT	SIGNAL	clk_pad
in_clock	sg13g2_IOPadIn	vdd	INOUT	POWER	vdd
in_clock	sg13g2_IOPadIn	vss	INOUT	GROUND	vss
